OrderID,Date,Order_type ,Action,Indicator,Set_description,Number of Sets,Profit
93946f6a-2bfb-4e9d-a4df-3882953c1005,1959-04-07,Option,Sell,RSI,Sell 1 put option,100,107764.73173969475,
9376fc52-c287-40e0-9a42-8f686285373e,1959-04-14,Option,Sell,RSI,Sell 1 put option,100,108234.73176280173,
63e53903-0ce8-4adc-ae33-e6f62bf80a30,1959-05-22,Option,Sell,RSI,Sell 1 put option,100,111294.72864429717,
87c60cce-561d-4b04-8bcb-33042fc3445c,1959-09-01,Option,Sell,Unemployment,Sell 1 put option,100,112294.93200515116,
81eb8ac5-240e-48c7-ba49-25e8bfe36073,1959-06-30,Option,Sell,RSI,Sell 1 put option,100,111814.73291779275,
f1dd40c8-6fa5-4444-b135-252eb8c6e924,1959-07-30,Option,Sell,RSI,Sell 1 put option,100,115624.7275124026,
e426df7c-6090-48ce-97c7-34c0ec252918,1959-08-11,Option,Buy,RSI,Buy 1 call option,100,-114865.13282500062,
0dd0576e-d941-412b-a693-63fc6718cff9,1959-08-13,Option,Buy,RSI,Buy 1 call option,100,-114345.13280190527,
ed57ded5-2824-4d19-8cb0-6444da4fd504,1959-08-18,Option,Buy,RSI,Buy 1 call option,100,-113195.12986820278,
cfba724b-5afb-4863-bdba-080a1ae5a911,1959-09-01,Option,Buy,Unemployment,Buy 1 call option,100,-113895.33724844562,
e275f58b-b6e6-4a02-b5eb-97ca9fd3f58f,1959-12-01,Option,Sell,Unemployment,Sell 1 put option,100,112664.93220149884,
750b1225-6cfc-4a4d-96cc-c1ad07f1d95a,1959-09-09,Option,Buy,RSI,Buy 1 call option,100,-89605.14707540015,
bbaed966-54d3-48a4-ab98-673849bcbb4d,1959-10-01,Option,Sell,MAVG,Sell 2 call options,200,215989.46079980396,
8d8a702b-8bdd-4e4c-a992-70ea09c4b39a,1959-10-06,Option,Sell,RSI,Sell 1 put option,100,107974.72972999935,
97db09ae-b5d6-4a93-b7df-9d35704055ff,1959-11-06,Option,Sell,RSI,Sell 1 put option,100,109164.73696030474,
8f0aa1ec-ad68-446b-bb53-d77b534127d1,1959-12-01,Option,Buy,Unemployment,Buy 1 call option,100,-114275.32707289797,
7488e6b8-bb03-4373-8ff4-7b245fa02eca,1959-12-01,Option,Sell,RSI,Sell 1 put option,100,112284.73476579928,
ca2fbc0f-8d93-469b-a551-88c714c14db5,1959-12-29,Option,Buy,MAVG,Buy 3 call options,300,-344295.38710980915,
e8c9e63a-5bf2-4496-b04f-327d78822ba7,1959-12-31,Option,Sell,RSI,Sell 1 put option,100,114304.73307950223,
6a068b75-83e2-4f83-a5b7-0b06f16f53be,1960-01-14,Option,Buy,RSI,Buy 1 call option,100,-112335.13005299757,
077111f0-13a3-4289-8aa0-482a91019df5,1960-02-10,Option,Sell,MAVG,Sell 2 call options,200,208889.4922158002,
a333f423-14bb-453a-b277-ab82328870c7,1960-02-17,Option,Buy,RSI,Buy 1 call option,100,-100415.12811259716,
a2c65ad6-e407-4f3e-8d3f-26b85cb4d80f,1960-03-02,Option,Sell,RSI,Sell 1 put option,100,104754.74255049843,
b3840011-cd4d-4a56-ba8b-04e6d1ed640b,1960-03-23,Option,Sell,RSI,Sell 1 put option,100,105054.73931649367,
b907f09c-d902-48b2-9ee0-dbc6e1fa319e,1960-04-21,Option,Buy,RSI,Buy 1 call option,100,-105385.11845910254,
f8325fe6-5e2e-40d0-abec-45229d1f2a5f,1960-05-17,Option,Sell,RSI,Sell 1 put option,100,104094.74111830063,
1aa18b3f-6229-4a63-89a7-8f8bde8048d4,1960-05-20,Option,Sell,RSI,Sell 1 put option,100,104724.74003259832,
eb0c1c5e-9a58-4b50-81c3-38916c94ccb6,1960-06-23,Option,Buy,RSI,Buy 1 call option,100,-110565.12605669966,
6fd49714-0d2d-41ea-acf3-3d6a22d0977f,1960-06-29,Option,Buy,MAVG,Buy 3 call options,300,-327255.366874201,
4c3dc8ab-05a1-4234-bb24-aef35e450aae,1960-06-29,Option,Buy,RSI,Buy 1 call option,100,-109085.1222913974,
17917f84-ab37-41a6-b5ee-0e5a599e46c7,1960-07-14,Option,Buy,RSI,Buy 1 call option,100,-106775.12508650456,
ce23c974-f89b-4fb7-abcc-c3fc53ea1b35,1960-08-11,Option,Sell,RSI,Sell 1 put option,100,105934.74213470632,
fedf7583-ce4b-4303-9c47-71971cf8fbac,1960-08-17,Option,Sell,RSI,Sell 1 put option,100,107164.73977849698,
