Date,Open,High,Low
08/11/1991,393.720001,396.429993,392.420013
11/11/1991,392.899994,393.570007,392.320007
12/11/1991,393.119995,397.130005,393.119995
13/11/1991,396.73999,397.420013,394.01001
14/11/1991,397.410004,398.220001,395.850006
15/11/1991,397.149994,397.160004,382.619995
18/11/1991,382.619995,385.399994,379.700012
19/11/1991,385.23999,385.23999,374.899994
20/11/1991,379.420013,381.51001,377.839996
21/11/1991,378.529999,381.119995,377.410004
22/11/1991,380.049988,380.049988,374.519989
25/11/1991,376.140015,377.070007,374
26/11/1991,375.339996,378.290009,371.630005
27/11/1991,377.959991,378.109985,375.980011
29/11/1991,376.549988,376.549988,374.649994
02/12/1991,375.109985,381.399994,371.359985
03/12/1991,381.399994,381.480011,379.920013
04/12/1991,380.959991,381.51001,378.070007
05/12/1991,380.070007,380.070007,376.579987
06/12/1991,377.390015,382.390015,375.410004
09/12/1991,379.089996,381.420013,377.670013
10/12/1991,378.26001,379.570007,376.640015
11/12/1991,377.899994,379.420013,374.779999
12/12/1991,377.700012,381.619995,377.700012
13/12/1991,381.549988,385.040009,381.549988
16/12/1991,384.480011,385.839996,384.369995
17/12/1991,384.459991,385.049988,382.600006
18/12/1991,382.73999,383.51001,380.880005
19/12/1991,383.459991,383.459991,380.640015
20/12/1991,382.519989,388.23999,382.519989
23/12/1991,387.049988,397.440002,386.959991
24/12/1991,396.820007,401.790009,396.820007
26/12/1991,399.329987,404.920013,399.309998
27/12/1991,404.839996,406.579987,404.589996
30/12/1991,406.48999,415.140015,406.48999
31/12/1991,415.140015,418.320007,412.730011
02/01/1992,417.029999,417.269989,411.040009
03/01/1992,417.269989,419.790009,416.160004
06/01/1992,419.309998,419.440002,416.920013
07/01/1992,417.959991,417.959991,415.200012
08/01/1992,417.359985,420.230011,415.019989
09/01/1992,418.089996,420.5,415.850006
10/01/1992,417.619995,417.619995,413.309998
13/01/1992,415.049988,415.359985,413.540009
14/01/1992,414.339996,420.440002,414.320007
15/01/1992,420.450012,421.179993,418.790009
16/01/1992,420.769989,420.850006,415.369995
17/01/1992,418.200012,419.450012,416
20/01/1992,418.859985,418.859985,415.799988
21/01/1992,416.359985,416.390015,411.320007
22/01/1992,412.649994,418.130005,412.48999
23/01/1992,418.130005,419.779999,414.359985
24/01/1992,414.959991,417.269989,414.290009
27/01/1992,415.440002,416.839996,414.480011
28/01/1992,414.980011,416.410004,414.540009
29/01/1992,414.959991,417.829987,409.170013
30/01/1992,410.339996,412.170013,409.26001
31/01/1992,411.649994,412.630005,408.640015
03/02/1992,408.790009,409.950012,407.450012
04/02/1992,409.600006,413.850006,409.279999
05/02/1992,413.880005,416.170013,413.179993
06/02/1992,413.869995,414.549988,411.929993
07/02/1992,413.820007,415.290009,408.040009
10/02/1992,411.070007,413.769989,411.070007
11/02/1992,413.769989,414.380005,412.23999
12/02/1992,413.769989,418.079987,413.359985
13/02/1992,417.130005,417.769989,412.070007
14/02/1992,413.690002,413.839996,411.200012
18/02/1992,412.480011,413.269989,406.339996
19/02/1992,407.380005,408.700012,406.540009
20/02/1992,408.26001,413.899994,408.26001
21/02/1992,413.899994,414.26001,409.720001
24/02/1992,411.459991,412.940002,410.339996
25/02/1992,412.269989,412.269989,408.019989
26/02/1992,410.480011,415.350006,410.480011
27/02/1992,415.350006,415.98999,413.470001
28/02/1992,413.859985,416.070007,411.799988
02/03/1992,412.679993,413.73999,411.519989
03/03/1992,412.450012,413.779999,411.880005
04/03/1992,412.859985,413.269989,409.329987
05/03/1992,409.329987,409.329987,405.420013
06/03/1992,406.51001,407.51001,403.649994
09/03/1992,404.450012,405.640015,404.25
10/03/1992,405.209991,409.160004,405.209991
11/03/1992,406.880005,407.019989,402.640015
12/03/1992,404.029999,404.720001,401.940002
13/03/1992,403.920013,406.690002,403.920013
16/03/1992,405.850006,406.399994,403.549988
17/03/1992,406.390015,409.720001,406.390015
18/03/1992,409.579987,410.839996,408.230011
19/03/1992,409.149994,410.570007,409.119995
20/03/1992,409.799988,411.299988,408.529999
23/03/1992,411.290009,411.290009,408.869995
24/03/1992,409.910004,411.429993,407.98999
25/03/1992,408.880005,409.869995,407.519989
26/03/1992,407.519989,409.440002,406.75
27/03/1992,407.859985,407.859985,402.869995
30/03/1992,403.5,404.299988,402.970001
31/03/1992,403,405.209991,402.220001
01/04/1992,403.670013,404.5,400.75
02/04/1992,404.170013,404.630005,399.279999
03/04/1992,400.5,401.589996,398.209991
06/04/1992,401.540009,405.929993,401.519989
07/04/1992,405.589996,405.75,397.970001
08/04/1992,398.049988,398.049988,392.410004
09/04/1992,394.5,401.040009,394.5
10/04/1992,400.589996,405.119995,400.589996
13/04/1992,404.279999,406.079987,403.899994
14/04/1992,406.079987,413.859985,406.079987
15/04/1992,412.390015,416.279999,412.390015
16/04/1992,416.279999,416.279999,413.399994
20/04/1992,416.049988,416.049988,407.929993
21/04/1992,410.160004,411.089996,408.200012
22/04/1992,410.26001,411.299988,409.230011
23/04/1992,409.809998,411.600006,406.859985
24/04/1992,411.600006,412.480011,408.73999
27/04/1992,409.029999,409.600006,407.640015
28/04/1992,408.450012,409.690002,406.329987
29/04/1992,409.109985,412.309998,409.109985
30/04/1992,412.019989,414.950012,412.019989
01/05/1992,414.950012,415.209991,409.869995
04/05/1992,412.540009,417.839996,412.540009
05/05/1992,416.910004,418.529999,415.769989
06/05/1992,416.839996,418.480011,416.399994
07/05/1992,416.790009,416.839996,415.380005
08/05/1992,415.869995,416.850006,414.410004
11/05/1992,416.049988,418.75,416.049988
12/05/1992,418.48999,418.679993,414.690002
13/05/1992,416.290009,417.040009,415.859985
14/05/1992,416.450012,416.519989,411.820007
15/05/1992,413.140015,413.140015,409.850006
18/05/1992,410.130005,413.339996,410.130005
19/05/1992,412.820007,416.51001,412.26001
20/05/1992,416.369995,416.829987,415.369995
21/05/1992,415.399994,415.410004,411.570007
22/05/1992,412.609985,414.820007,412.600006
26/05/1992,414.019989,414.019989,410.230011
27/05/1992,411.410004,412.679993,411.059998
28/05/1992,412.170013,416.769989,411.809998
29/05/1992,416.73999,418.359985,415.350006
01/06/1992,415.350006,417.299988,412.440002
02/06/1992,417.299988,417.299988,413.5
03/06/1992,413.5,416.540009,413.040009
04/06/1992,414.600006,414.980011,412.970001
05/06/1992,413.26001,413.850006,410.970001
08/06/1992,413.480011,413.950012,412.029999
09/06/1992,413.399994,413.559998,409.299988
10/06/1992,410.059998,410.100006,406.809998
11/06/1992,407.25,409.049988,406.109985
12/06/1992,409.079987,411.859985,409.079987
15/06/1992,409.76001,411.679993,408.130005
16/06/1992,410.290009,411.399994,408.320007
17/06/1992,408.329987,408.329987,401.980011
18/06/1992,402.26001,402.679993,400.51001
19/06/1992,400.959991,404.230011,400.959991
22/06/1992,403.640015,403.640015,399.920013
23/06/1992,403.399994,405.410004,403.399994
24/06/1992,404.049988,404.76001,403.26001
25/06/1992,403.829987,405.529999,402.01001
26/06/1992,403.119995,403.51001,401.940002
29/06/1992,403.470001,408.959991,403.470001
30/06/1992,408.940002,409.630005,407.850006
01/07/1992,408.200012,412.880005,408.200012
02/07/1992,412.880005,415.709991,410.070007
06/07/1992,411.769989,413.839996,410.459991
07/07/1992,413.829987,415.329987,408.579987
08/07/1992,409.149994,410.279999,407.200012
09/07/1992,410.279999,414.690002,410.26001
10/07/1992,414.230011,415.880005,413.339996
13/07/1992,414.619995,415.859985,413.929993
14/07/1992,414.859985,417.690002,414.329987
15/07/1992,417.679993,417.809998,416.290009
16/07/1992,417.040009,417.929993,414.790009
17/07/1992,417.540009,417.540009,412.959991
20/07/1992,415.619995,415.619995,410.720001
21/07/1992,413.75,414.920013,413.100006
22/07/1992,413.73999,413.73999,409.950012
23/07/1992,410.929993,412.079987,409.809998
24/07/1992,412.070007,412.070007,409.929993
27/07/1992,411.600006,412.670013,411.269989
28/07/1992,411.549988,417.549988,411.549988
29/07/1992,417.519989,423.019989,417.519989
30/07/1992,422.200012,423.940002,421.570007
31/07/1992,423.920013,424.799988,422.459991
03/08/1992,424.190002,425.089996,422.839996
04/08/1992,425.089996,425.140015,423.100006
05/08/1992,424.350006,424.350006,421.920013
06/08/1992,422.190002,422.359985,420.26001
07/08/1992,420.589996,423.450012,418.51001
10/08/1992,418.869995,419.420013,417.040009
11/08/1992,419.450012,419.720001,416.529999
12/08/1992,418.890015,419.75,416.429993
13/08/1992,417.779999,419.880005,416.399994
14/08/1992,417.73999,420.399994,417.73999
17/08/1992,419.890015,421.890015,419.440002
18/08/1992,420.73999,421.399994,419.779999
19/08/1992,421.339996,421.619995,418.190002
20/08/1992,418.190002,418.850006,416.929993
21/08/1992,418.269989,420.350006,413.579987
24/08/1992,414.799988,414.799988,410.070007
25/08/1992,410.730011,411.640015,408.299988
26/08/1992,411.649994,413.609985,410.529999
27/08/1992,413.51001,415.829987,413.51001
28/08/1992,413.540009,414.950012,413.380005
31/08/1992,414.869995,415.290009,413.76001
01/09/1992,414.029999,416.070007,413.350006
02/09/1992,416.070007,418.279999,415.309998
03/09/1992,417.980011,420.309998,417.48999
04/09/1992,417.980011,418.619995,416.76001
08/09/1992,417.079987,417.179993,414.299988
09/09/1992,414.440002,416.440002,414.440002
10/09/1992,416.339996,420.519989,416.339996
11/09/1992,419.950012,420.579987,419.130005
14/09/1992,419.649994,425.269989,419.649994
15/09/1992,425.220001,425.220001,419.540009
16/09/1992,419.709991,422.440002,417.769989
17/09/1992,419.920013,421.429993,419.619995
18/09/1992,419.920013,422.929993,419.920013
21/09/1992,422.899994,422.899994,421.179993
22/09/1992,422.140015,422.140015,417.130005
23/09/1992,417.140015,417.880005,416
24/09/1992,417.459991,419.01001,417.459991
25/09/1992,418.470001,418.630005,412.709991
28/09/1992,414.350006,416.619995,413
29/09/1992,416.619995,417.380005,415.339996
30/09/1992,416.790009,418.579987,416.670013
01/10/1992,417.799988,418.670013,415.459991
02/10/1992,416.290009,416.350006,410.450012
05/10/1992,410.470001,410.470001,396.799988
06/10/1992,407.570007,408.559998,404.839996
07/10/1992,407.170013,408.600006,403.910004
08/10/1992,404.290009,408.040009,404.290009
09/10/1992,407.75,407.75,402.420013
12/10/1992,402.660004,407.440002,402.660004
13/10/1992,407.440002,410.640015,406.829987
14/10/1992,409.299988,411.519989,407.859985
15/10/1992,409.339996,411.029999,407.920013
16/10/1992,409.600006,411.730011,407.429993
19/10/1992,411.730011,414.980011,410.660004
20/10/1992,414.980011,417.980011,414.48999
21/10/1992,415.529999,416.149994,414.540009
22/10/1992,415.670013,416.809998,413.100006
23/10/1992,414.899994,416.230011,413.679993
26/10/1992,414.089996,418.170013,413.709991
27/10/1992,418.179993,419.200012,416.970001
28/10/1992,418.48999,420.130005,417.559998
29/10/1992,420.149994,421.160004,419.829987
30/10/1992,420.859985,421.130005,418.540009
02/11/1992,418.660004,422.75,418.119995
03/11/1992,422.75,422.809998,418.589996
04/11/1992,419.910004,421.070007,416.609985
05/11/1992,417.079987,418.399994,415.579987
06/11/1992,418.350006,418.350006,417.01001
09/11/1992,417.579987,420.130005,416.790009
10/11/1992,418.589996,419.709991,417.980011
11/11/1992,418.619995,422.329987,418.399994
12/11/1992,422.200012,423.100006,421.700012
13/11/1992,422.890015,422.910004,421.040009
16/11/1992,422.440002,422.440002,420.350006
17/11/1992,420.630005,420.970001,418.309998
18/11/1992,419.269989,423.48999,419.23999
19/11/1992,422.859985,423.609985,422.5
20/11/1992,423.609985,426.980011,423.609985
23/11/1992,426.649994,426.649994,424.950012
24/11/1992,425.140015,429.309998,424.829987
25/11/1992,427.589996,429.410004,427.579987
27/11/1992,429.190002,431.929993,429.170013
30/11/1992,430.190002,431.529999,429.359985
01/12/1992,431.350006,431.470001,429.200012
02/12/1992,430.779999,430.869995,428.609985
03/12/1992,429.980011,430.98999,428.799988
04/12/1992,429.929993,432.890015,429.73999
07/12/1992,432.059998,435.309998,432.059998
08/12/1992,435.309998,436.98999,434.679993
09/12/1992,436.98999,436.98999,433.980011
10/12/1992,435.660004,435.660004,432.649994
11/12/1992,434.640015,434.640015,433.339996
14/12/1992,433.730011,435.26001,432.829987
15/12/1992,432.820007,433.660004,431.920013
16/12/1992,432.579987,434.220001,430.880005
